#name, A, B, C, D, E, F
NODE_1405, 1.3426958117753584e-07, 4.4443687372373865e-09, 2.736247380786128e-09, 2.8001400953246806e-07, 4.326271077466591e-08, 0.9999995352730823
GCA_003037385.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1404, 1.3426632415350853e-07, 4.444352249236869e-09, 2.736240670985938e-09, 2.8000331711303605e-07, 4.326215291765952e-08, 0.999999535287613
GCA_003262805.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1403, 1.3360662304807205e-07, 4.436245143501527e-09, 2.7322688694082878e-09, 2.782778600242435e-07, 4.310763018785957e-08, 0.9999995378393726
GCA_003262995.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
GCA_002851875.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1480, 3.719578901958463e-05, 1.0137476256962757e-06, 7.928979897013534e-07, 1.7798620021159527e-05, 0.0035290157306335263, 0.9964141832147105
NODE_1327, 3.545315913815605e-05, 8.007383693832536e-07, 7.95960261710462e-07, 3.9003236768695645e-06, 0.9965217284218718, 0.0034373213966821664
GCA_033118375.1, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_1284, 4.0824659531150113e-07, 6.130042469454072e-09, 6.693993275035599e-09, 2.1753449011286195e-08, 0.9999876566737083, 1.1900502211664097e-05
GCA_033110645.1, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
NODE_1283, 1.230062101641413e-07, 2.2692197951354506e-09, 2.8625292778541737e-09, 3.118112784186885e-09, 0.9999997852549121, 8.348901584549937e-08
NODE_1281, 1.2009808354744857e-07, 2.2477449525861656e-09, 2.839613369819928e-09, 3.0375393630024463e-09, 0.999999829496176, 4.2280842626327286e-08
GCA_034396375.1, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
GCA_034395755.1, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
NODE_1282, 1.2124166555446499e-07, 2.2541917102224657e-09, 2.8476535867762007e-09, 3.0464040849123954e-09, 0.99999982803202, 4.257806513281804e-08
NODE_1269, 1.2122646325939467e-07, 2.2541266564625277e-09, 2.847587415793362e-09, 3.046131129638444e-09, 0.9999998281903157, 4.243537593406227e-08
NODE_1248, 1.2008830994844039e-07, 2.2476898931876487e-09, 2.839559107528372e-09, 3.037280433575706e-09, 0.9999998296474722, 4.213968842125183e-08
GCA_034395935.1, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
GCA_033110745.1, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
